Date,Time,Open,High,Low,Close,Volume,OpenInterest
2014-01-14,16:25:00,3104.70,3105.39,3102.86,3103.28,0,0
2014-01-14,16:30:00,3103.23,3104.64,3102.88,3104.49,0,0
2014-01-14,16:35:00,3104.50,3107.42,3104.50,3105.92,0,0
2014-01-14,16:40:00,3106.39,3106.40,3103.77,3103.79,0,0
2014-01-14,16:45:00,3103.95,3107.20,3103.95,3105.67,0,0
2014-01-14,16:50:00,3105.40,3107.82,3105.40,3106.06,0,0
2014-01-14,16:55:00,3105.90,3107.33,3105.90,3106.92,0,0
2014-01-14,17:00:00,3106.69,3112.40,3106.02,3111.43,0,0
2014-01-14,17:05:00,3111.31,3112.86,3111.19,3111.55,0,0
2014-01-14,17:10:00,3111.59,3111.60,3110.78,3110.81,0,0
2014-01-14,17:15:00,3110.71,3113.75,3110.71,3113.75,0,0
2014-01-14,17:20:00,3113.35,3119.02,3113.31,3118.96,0,0
2014-01-14,17:25:00,3118.39,3118.51,3115.94,3115.94,0,0
2014-01-14,17:30:00,3115.70,3116.92,3115.57,3116.92,0,0
2014-01-15,09:05:00,3123.58,3127.05,3123.58,3126.08,0,0
2014-01-15,09:10:00,3125.99,3126.80,3124.70,3126.09,0,0
2014-01-15,09:15:00,3126.08,3132.90,3125.08,3131.19,0,0
2014-01-15,09:20:00,3132.51,3140.46,3132.51,3136.27,0,0
2014-01-15,09:25:00,3136.97,3137.41,3135.31,3135.83,0,0
2014-01-15,09:30:00,3135.49,3137.24,3135.26,3137.24,0,0
2014-01-15,09:35:00,3136.70,3137.33,3136.16,3136.16,0,0
2014-01-15,09:40:00,3136.13,3137.73,3136.13,3136.54,0,0
2014-01-15,09:45:00,3136.28,3138.07,3136.28,3136.85,0,0
2014-01-15,09:50:00,3136.92,3137.68,3136.56,3136.61,0,0
2014-01-15,09:55:00,3136.56,3137.68,3136.46,3136.63,0,0
2014-01-15,10:00:00,3136.50,3136.50,3134.84,3135.20,0,0
2014-01-15,10:05:00,3135.24,3136.88,3135.24,3136.44,0,0
2014-01-15,10:10:00,3136.46,3136.82,3135.59,3135.78,0,0
2014-01-15,10:15:00,3135.32,3135.74,3134.17,3134.33,0,0
2014-01-15,10:20:00,3134.26,3135.78,3134.26,3135.63,0,0
2014-01-15,10:25:00,3135.43,3135.85,3134.53,3134.63,0,0
2014-01-15,10:30:00,3134.64,3135.84,3134.64,3135.79,0,0
2014-01-15,10:35:00,3135.88,3136.29,3132.91,3132.91,0,0
2014-01-15,10:40:00,3133.09,3133.78,3131.83,3131.90,0,0
2014-01-15,10:45:00,3132.52,3133.64,3132.48,3133.63,0,0
2014-01-15,10:50:00,3133.61,3133.65,3132.74,3133.23,0,0
2014-01-15,10:55:00,3132.94,3132.98,3131.10,3132.20,0,0
2014-01-15,11:00:00,3132.12,3132.12,3131.42,3131.90,0,0
2014-01-15,11:05:00,3132.06,3132.06,3130.29,3130.46,0,0
2014-01-15,11:10:00,3130.58,3131.07,3130.50,3130.71,0,0
2014-01-15,11:15:00,3130.59,3130.84,3130.36,3130.70,0,0
2014-01-15,11:20:00,3130.90,3130.95,3130.33,3130.71,0,0
2014-01-15,11:25:00,3130.88,3131.01,3130.30,3130.75,0,0
2014-01-15,11:30:00,3130.96,3131.85,3130.55,3131.85,0,0
2014-01-15,11:35:00,3131.79,3133.85,3131.65,3133.85,0,0
2014-01-15,11:40:00,3133.95,3134.02,3133.62,3133.73,0,0
2014-01-15,11:45:00,3133.61,3134.01,3133.48,3133.70,0,0
2014-01-15,11:50:00,3133.92,3134.21,3133.48,3133.48,0,0
2014-01-15,11:55:00,3133.60,3134.28,3133.38,3134.28,0,0
2014-01-15,12:00:00,3134.34,3134.34,3133.47,3134.00,0,0
2014-01-15,12:05:00,3134.31,3135.64,3134.31,3135.23,0,0
2014-01-15,12:10:00,3135.49,3137.30,3134.77,3137.07,0,0
2014-01-15,12:15:00,3136.98,3137.30,3136.87,3137.10,0,0
2014-01-15,12:20:00,3137.28,3138.89,3136.98,3137.45,0,0
2014-01-15,12:25:00,3137.53,3137.53,3136.65,3136.91,0,0
2014-01-15,12:30:00,3136.84,3139.16,3136.84,3138.50,0,0
2014-01-15,12:35:00,3138.53,3140.25,3138.35,3139.52,0,0
2014-01-15,12:40:00,3139.82,3139.82,3138.38,3138.51,0,0
2014-01-15,12:45:00,3138.53,3140.39,3138.53,3140.24,0,0
2014-01-15,12:50:00,3140.38,3142.72,3140.38,3141.05,0,0
2014-01-15,12:55:00,3140.71,3141.70,3140.63,3140.85,0,0
2014-01-15,13:00:00,3140.75,3140.82,3139.83,3140.26,0,0
2014-01-15,13:05:00,3140.27,3140.76,3140.27,3140.58,0,0
2014-01-15,13:10:00,3140.65,3140.66,3139.72,3140.45,0,0
2014-01-15,13:15:00,3140.41,3141.88,3140.33,3141.07,0,0
2014-01-15,13:20:00,3140.16,3141.61,3140.16,3141.11,0,0
2014-01-15,13:25:00,3141.20,3141.27,3140.46,3140.89,0,0
2014-01-15,13:30:00,3140.83,3144.23,3140.83,3143.77,0,0
2014-01-15,13:35:00,3143.72,3145.23,3143.47,3145.08,0,0
2014-01-15,13:40:00,3145.02,3145.89,3143.53,3143.53,0,0
2014-01-15,13:45:00,3143.80,3143.86,3143.25,3143.48,0,0
2014-01-15,13:50:00,3143.49,3143.58,3141.40,3141.40,0,0
2014-01-15,13:55:00,3141.67,3141.67,3140.80,3141.40,0,0
2014-01-15,14:00:00,3141.42,3141.68,3140.36,3140.90,0,0
2014-01-15,14:05:00,3140.87,3142.31,3140.86,3141.51,0,0
2014-01-15,14:10:00,3141.32,3141.96,3141.32,3141.59,0,0
2014-01-15,14:15:00,3141.51,3141.65,3140.97,3141.07,0,0
2014-01-15,14:20:00,3141.05,3142.47,3141.03,3142.44,0,0
