Date,Open,High,Low,Close,Adj Close,Volume
1997-09-09,29.562500,29.656250,29.156250,29.375000,11.747346,8264600
1997-09-10,29.375000,29.593750,28.781250,28.812500,11.522401,6071800
1997-09-11,28.750000,28.750000,27.687500,28.062500,11.277259,15022400
1997-09-12,28.062500,28.625000,27.531250,28.531250,11.465629,13883800
1997-09-15,28.531250,29.031250,28.531250,28.781250,11.566097,7217600
1997-09-16,28.968750,30.062500,28.968750,29.625000,11.905168,9876400
1997-09-17,29.625000,29.968750,29.406250,29.531250,11.867495,6530000
1997-09-18,29.531250,29.656250,29.250000,29.406250,11.817253,7354800
1997-09-19,29.406250,29.593750,29.062500,29.593750,11.892611,10150800
1997-09-22,29.812500,30.093750,29.812500,29.921875,12.024475,5835000
1997-09-23,29.921875,30.093750,29.687500,29.875000,12.005636,4942000
1997-09-24,29.875000,30.562500,29.875000,30.312500,12.181449,9592800
1997-09-25,30.312500,31.031250,30.218750,30.625000,12.307027,10278200
1997-09-26,30.718750,30.968750,30.718750,30.968750,12.445171,5492200
1997-09-29,31.156250,31.562500,31.156250,31.281250,12.570753,8656800
1997-09-30,31.250000,31.250000,30.437500,30.500000,12.256801,6843200
1997-10-01,30.500000,30.968750,30.500000,30.968750,12.445171,6044800
1997-10-02,30.968750,31.437500,30.875000,31.437500,12.633545,6401600
1997-10-03,31.437500,31.843750,30.562500,31.187500,12.533080,8069800
1997-10-06,31.375000,31.656250,31.375000,31.437500,12.633545,4511000
1997-10-07,31.500000,32.125000,31.500000,31.906250,12.821918,6927400
1997-10-08,31.906250,32.062500,31.250000,31.375000,12.608433,6040800
1997-10-09,31.125000,31.125000,30.781250,30.906250,12.420055,5424000
1997-10-10,30.906250,30.937500,30.437500,30.843750,12.394937,3591200
1997-10-13,30.812500,30.812500,30.593750,30.656250,12.319590,3216400
1997-10-14,30.656250,31.093750,30.187500,30.375000,12.206562,6600200
1997-10-15,30.281250,30.281250,29.812500,29.906250,12.018189,6319200
1997-10-16,29.906250,30.468750,29.281250,29.468750,11.842376,7278600
1997-10-17,29.468750,29.562500,28.531250,29.250000,11.754472,11165600
1997-10-20,29.250000,29.562500,28.750000,29.406250,11.817253,8186800
1997-10-21,29.406250,30.062500,29.343750,30.000000,12.055871,6119400
